"ID","","","","","","","","","","","","TaxonLevel","","","","","","","","","","","","","","","","","","","","","","<i>Genus Species </i>"
"10400058","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","<i>G. perijae</i>","<i>perijae</i>","","","","","<i>Gracilinanus marica </i>"
"10400059","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","<i>guahybae</i> <i>herhardti</i>","<i>G. agilis</i> <i>G. microtarsus</i>","","","","<i>Gracilinanus microtarsus </i>"
"10400060","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Gracilinanus microtarsus </i>"
"10400061","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Gracilinanus microtarsus </i>"
"10400062","","","","","","","","","","","","GENUS","","","","","","","","","","","","<i>Gracilinanus kalinowskii</i>","","","","","","","","","",""
"10400063","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","<i>Gracilinanus kalinowskii.</i>","","<i>Gracilinanus kalinowskii</i>","","","","<i>Hyladelphys kalinowskii </i>"
"10400064","","","","","","","","","","","","GENUS","","","","","","","","","","","","<i>Notodelphys halli</i>","","","","","<i>Notodelphys</i>","","","","",""
"10400065","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Lestodelphys halli </i>"
"10400066","","","","","","","","","","","","GENUS","","","","","","","","","","","","<i>Didelphis crassicaudata</i>","","","","","<i>Didelphis</i> <i> Sarigua</i>","","","","",""
"10400067","","","","","","","","","","","","SPECIES","","","","","","","<i>in</i>","","","","","","","","","","<i>bonaria</i> <i>crassicaudis</i> <i>ferruginea</i> <i>lutrilla</i> <i>paranalis</i> <i>travassosi</i> <i>turneri</i>","<i>a</i> <i> crassicaudis</i> <i>mustelina</i> <i>nomina nuda</i>","","","","<i>Lutreolina crassicaudata </i>"
"10400068","","","","","","","","","","","","SUBSPECIES","","","","","","","<i>in</i>","","","","","","","","","","","","","","","<i>Lutreolina crassicaudata </i>"
"10400069","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Lutreolina crassicaudata </i>"
"10400070","","","","","","","","","","","","GENUS","","","","","","","","","","","","<i>Didelphis marina</i> <i>Didelphis murina</i>","","","","","<i>Asagis</i> <i>Cuica</i> <i>Didelphis </i> <i> Grayium</i> <i>Grymaeomys</i> <i>Notagogus</i> <i>Opossum</i> <i>Sarigua</i> <i>Stegomarmosa</i>","<i>Ouica</i> <i>Cuica</i>","","","",""
"10400071","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","","<i>Stegomarmosa</i>","","","","<i>Marmosa andersoni </i>"
"10400072","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","<i>a</i>","","","<i>grandis</i>","","","","","<i>Marmosa lepida </i>"
"10400073","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","<i>mayensis</i> <i>savannarum</i> <i>zeledoni</i>","","","","","<i>Marmosa mexicana </i>"
"10400074","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Marmosa mexicana </i>"
"10400075","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Marmosa mexicana </i>"
"10400076","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Marmosa mexicana </i>"
"10400077","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","<i>a</i>","","","<i>bombascarae</i> <i>chloe</i> <i>dorsigera</i> <i>duidae</i> <i>guianensis</i> <i>klagesi</i> <i>macrotarsus</i> <i>madeirensis</i> <i>maranii</i> <i>meridionalis</i> <i>moreirae</i> <i>muscula</i> <i>parata</i> <i>roraimae</i> <i>tobagi</i> <i>waterhousii</i>","<i>murina</i> <i>marina</i> <i> marina</i> <i>murina</i> <i>waterhausi</i> <i>waterhousii</i> <i>Didelphis murina</i> <i>Asagis</i> <i>otagogus</i> <i>Grymaeomys</i> <i>Cuica</i>","","","","<i>Marmosa murina </i>"
"10400078","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","<i>musicola</i>","<i>murina</i>","","","","<i>Marmosa quichua </i>"
"10400079","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","<i>casta</i> <i>mitis</i> <i>pallidiventris</i> <i>chapmani</i> <i>nesaea</i> <i>fulviventer</i> <i>grenadae</i> <i>isthmica</i> <i>luridavolta</i> <i>ruatanica</i> <i>simonsi</i> <i>mimetra</i>","","","","","<i>Marmosa robinsoni </i>"
"10400080","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Marmosa robinsoni </i>"
"10400081","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Marmosa robinsoni </i>"
"10400082","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Marmosa robinsoni </i>"
"10400083","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Marmosa robinsoni </i>"
"10400084","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Marmosa robinsoni </i>"
"10400085","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Marmosa robinsoni </i>"
"10400086","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Marmosa robinsoni </i>"
"10400087","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Marmosa robinsoni </i>"
"10400088","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Marmosa rubra </i>"
"10400089","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","<i>phelpsi</i>","","","","","<i>Marmosa tyleriana </i>"
"10400090","","","","","","","","","","","","SPECIES","","","","","","","<i>In</i>","","","","","","","","","","","","","","","<i>Marmosa xerophila </i>"
"10400091","","","","","","","","","","","","GENUS","","","","","","","","","","","","<i>Didelphis incana</i>","","","","","<i>Didelphis</i> <i>Grymaeomys</i> <i>Thylamys</i>","<i>Marmosa</i> <i>sensu lato</i>","","","",""
"10400092","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","","<i>M.</i> <i>parvidens</i>","","","","<i>Marmosops bishopi </i>"
"10400093","","","","","","","","","","","","SPECIES","","","","","","","<i>In</i>","","","","","","","","","","","","","","","<i>Marmosops cracens </i>"
"10400094","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","<i>yungasensis</i>","","","","","<i>Marmosops dorothea </i>"
"10400095","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","<i>carri</i> <i>perfuscus</i>","","","","","<i>Marmosops fuscatus </i>"
"10400096","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Marmosops fuscatus </i>"
"10400097","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Marmosops fuscatus </i>"
"10400098","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Marmosops fuscatus </i>"
"10400099","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Marmosops handleyi </i>"
"10400100","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","<i>albiventris</i> <i>caucae</i> <i>celicae</i> <i>madescens</i> <i>ocellata</i> <i>oroensis</i> <i>purui</i> <i>sobrina</i> <i>ucayaliensis</i>","","","","","<i>Marmosops impavidus </i>"
"10400101","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","<i>bahiensis</i> <i>scapulatus</i>","","","","","<i>Marmosops incanus </i>"
"10400102","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Marmosops invictus </i>"
"10400103","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","","<i>parvidens</i>","","","","<i>Marmosops juninensis </i>"
"10400104","","","","","","","","","","","","SPECIES","","","","","","","<i>In</i>","","","","","","","","","","","<i>M. impavidus</i> <i>neblinae</i> <i>neblina</i> <i>M</i> <i>impavidus</i> <i>neblina</i>","","","","<i>Marmosops neblina </i>"
"10400105","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","<i>collega</i> <i>keaysi</i> <i>leucastra</i> <i>lugenda</i> <i>neglecta</i> <i>polita</i> <i>stollei</i>","<i>M. noctivagus keaysi</i> <i>noctivagus</i>","","","","<i>Marmosops noctivagus </i>"
"10400106","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","","<i>parvidentata</i> <i>parvidens</i>","","","","<i>Marmosops parvidens </i>"
"10400107","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Marmosops paulensis </i>"
"10400108","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","<i>woodalli</i>","<i>M.</i> <i>parvidens</i>","","","","<i>Marmosops pinheiroi </i>"
"10400109","","","","","","","","","","","","GENUS","","","","","","","","","","","","<i>Didelphis myosuros</i>","","","","","<i>Cuica</i>","<i>Philander</i> <i>Philander</i> <i>Metacherius</i> <i>Metachirus</i>","","","",""
"10400110","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","<i>colombianus</i> <i> antioquiae</i> <i>dentaneus</i> <i>imbutus</i> <i>phaeurus</i> <i>modestus</i> <i>myosuros</i> <i>personatus</i> <i> <b>tschudii</b></i> <i>bolivianus</i> <i>infuscus</i>","<i>nudicaudatus</i> <i>nudicauda</i> <i>nudicaudus</i> <i>nudicaudatus</i> <i>colombica</i> <i>colombianus</i>","","","","<i>Metachirus nudicaudatus </i>"
"10400111","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Metachirus nudicaudatus </i>"
"10400112","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Metachirus nudicaudatus </i>"
"10400113","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Metachirus nudicaudatus </i>"
"10400114","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Metachirus nudicaudatus </i>"
"10400115","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Metachirus nudicaudatus </i>"
"10400116","","","","","","","","","","","","GENUS","","","","","","","","","","","","<i>Didelphis cinerea</i> <i>a</i>","","","","","<i>Grymaeomys</i>","<i>Marmosa</i> <i>sensu lato</i> <i>Micoures</i> <i>Micoures</i> <i>Micoureus</i>","","","",""
"10400117","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","<i>nicaraguae</i>","","","","","<i>Micoureus alstoni </i>"
"10400118","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","<i>budini</i>","<i>M. c. constantiae</i> <i>M. c. budini</i>","","","","<i>Micoureus constantiae </i>"
"10400119","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","<i>areniticola</i> <i>dominus</i> <i>limae</i> <i>esmeraldae</i> <i>meridae</i>","<i>Marmosa cinerea</i>","","","","<i>Micoureus demerarae </i>"
"10400120","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Micoureus demerarae </i>"
"10400121","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Micoureus demerarae </i>"
"10400122","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Micoureus demerarae </i>"
"10400123","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Micoureus demerarae </i>"
"10400124","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Micoureus demerarae </i>"
"10400125","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","<i>travassosi</i> <i>cinerea</i> <i>pfrimeri</i>","<i>Marmosa cinerea</i> <i>Didelphis cinerea</i> <i>D. cinerea</i> <i>M. demerarae</i>","","","","<i>Micoureus paraguayanus </i>"
"10400126","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Micoureus paraguayanus </i>"
"10400127","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Micoureus paraguayanus </i>"
